id,name_en,name_zh,category,group_code,status,source_url,first_seen,last_updated,brn,registered_address,company_type,date_of_incorporation,cr_matched_name,cr_match_ratio
166,Fine Power Construction Engineering Limited,威明建築工程有限公司,Roads & Drainage,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,34706430,"WORKSHOP NO. 16, 10/F.,, SINO INDUSTRIAL PLAZA,, 9, KAI CHEUNG ROAD, KOWLOON BAY, KLN, HONG KONG",Private company limited by shares,30-04-2004,FINE POWER CONSTRUCTION ENGINEERING LIMITED,1.0
167,Fine Power Construction Engineering Limited,威明建築工程有限公司,Waterworks,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,34706430,"WORKSHOP NO. 16, 10/F.,, SINO INDUSTRIAL PLAZA,, 9, KAI CHEUNG ROAD, KOWLOON BAY, KLN, HONG KONG",Private company limited by shares,30-04-2004,FINE POWER CONSTRUCTION ENGINEERING LIMITED,1.0
168,Fairmax Engineering Limited,世豪工程有限公司,Waterworks,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,13096428,"FLAT 2309, NEW TECH PLAZA,, 34 TAI YAU STREET,, SAN PO KONG, KOWLOON, HONG KONG",Private company limited by shares,05-05-1989,FAIRMAX ENGINEERING LIMITED,1.0
169,Fong Wing Shing Construction Company Limited,方永勝建築有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,07833937,"UNITS 1214-1215, 12/F.,, CHEVALIER COMMERCIAL CENTRE,, NO. 8 WANG HOI ROAD, KOWLOON BAY, KLN, HONG KONG",Private company limited by shares,11-05-1982,FONG WING SHING CONSTRUCTION COMPANY LIMITED,1.0
170,Fook Lee Construction Company Limited,褔利建築有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,02514839,"10/F., GOLDEN STAR BUILDING, 20-24 LOCKHART ROAD, WANCHAI, HONG KONG",Private company limited by shares,04-10-1967,FOOK LEE CONSTRUCTION COMPANY LIMITED,1.0
171,Fook Lee Construction Company Limited,褔利建築有限公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,02514839,"10/F., GOLDEN STAR BUILDING, 20-24 LOCKHART ROAD, WANCHAI, HONG KONG",Private company limited by shares,04-10-1967,FOOK LEE CONSTRUCTION COMPANY LIMITED,1.0
172,Fook Lee Construction Company Limited,褔利建築有限公司,Site Formation,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,02514839,"10/F., GOLDEN STAR BUILDING, 20-24 LOCKHART ROAD, WANCHAI, HONG KONG",Private company limited by shares,04-10-1967,FOOK LEE CONSTRUCTION COMPANY LIMITED,1.0
173,Fook Lee Construction Company Limited,褔利建築有限公司,Waterworks,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,02514839,"10/F., GOLDEN STAR BUILDING, 20-24 LOCKHART ROAD, WANCHAI, HONG KONG",Private company limited by shares,04-10-1967,FOOK LEE CONSTRUCTION COMPANY LIMITED,1.0
174,Forward Construction Company Limited,富和建築有限公司,Buildings,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,61697830,"UNIT A&B, 6/F, WORLDWIDE CENTRE,, 123 TUNG CHAU STREET,, TAI KOK TSUI, KOWLOON, HONG KONG",Private company limited by shares,08-07-2013,FORWARD CONSTRUCTION COMPANY LIMITED,1.0
175,Free Form Construction Company Limited,致豐建築有限公司,Buildings,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,09854698,"UNIT 8 11/F WESTLANDS CENTRE, 20 WESTLANDS ROAD, QUARRY BAY, HONG KONG",Private company limited by shares,16-08-1985,FREE FORM CONSTRUCTION COMPANY LIMITED,1.0
176,Fujita Corporation,Fujita Corporation,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,79301510,香港 沙田 火炭坳背灣街2-12號 威力工業中心 8樓G09室,Private company limited by shares,02-12-2025,"FUJITA (XIANGGANG) CO., LIMITED",0.9
177,Fuk Shing Engineering Company Limited,褔成建造工程有限公司,Buildings,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,06605511,"RM 202, 2/F, FUK SHING COMM. BLDG,, NO. 28 ON LOK MUN ST, ON LOK TSUEN,, FANLING, NT, HONG KONG",Private company limited by shares,09-05-1980,FUK SHING ENGINEERING COMPANY LIMITED,1.0
178,Fuk Shing Engineering Company Limited,褔成建造工程有限公司,Roads & Drainage,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,06605511,"RM 202, 2/F, FUK SHING COMM. BLDG,, NO. 28 ON LOK MUN ST, ON LOK TSUEN,, FANLING, NT, HONG KONG",Private company limited by shares,09-05-1980,FUK SHING ENGINEERING COMPANY LIMITED,1.0
179,Fuk Shing Engineering Company Limited,褔成建造工程有限公司,Site Formation,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,06605511,"RM 202, 2/F, FUK SHING COMM. BLDG,, NO. 28 ON LOK MUN ST, ON LOK TSUEN,, FANLING, NT, HONG KONG",Private company limited by shares,09-05-1980,FUK SHING ENGINEERING COMPANY LIMITED,1.0
